image,ground_truth
test001.jpg,B9140BCD
test002.jpg,BG1352AE
test003.jpg,B1995JVK
test004.jpg,B9062VEH
test005.jpg,DD8978KM
test006.jpg,T1329KC
test007.jpg,AD8865EE
test008.jpg,DK1175AAB
test009.jpg,K1649GB
test010.jpg,H1147UY
test011.jpg,D1204AIG
test012.jpg,E1887BA
test013.jpg,B1439UZP
test014.jpg,B1388DFX
test015.jpg,AD1798BT
test016.jpg,E1517DG
test017.jpg,AD8982FS
test018.jpg,L7603UA
test019.jpg,AD7HS
test020.jpg,AD1328PY
test021.jpg,BA1709DW
test022.jpg,W1825OZ
test023.jpg,B1730JLO
test024.jpg,B2964TRU
test025.jpg,W1185ZO
test026.jpg,N9652DE
test027.jpg,C1109CLR
test028.jpg,L1438EO
test029.jpg,L1588OO
test030.jpg,S8062NF
test031.jpg,L1560JO
test032.jpg,W1192K
test033.jpg,L4561VK
test034.jpg,L2570AAD
test035.jpg,W1696YO
test036.jpg,B1231JJA
test037.jpg,L1775VO
test038.jpg,L1877ACU
test039.jpg,L1069VK
test040.jpg,S1595LL
test041.jpg,B1231JJA
test042.jpg,AD1174SF
test043.jpg,W1898YW
test044.jpg,L1930KF
test045.jpg,S1347LJ
test046.jpg,L1470ABK
test047.jpg,N1524SY
test048.jpg,W1838AY
test049.jpg,N79AP
test050.jpg,N1095G
test051.jpg,N1718HC
test052.jpg,N5235ABX
test053.jpg,N1365AAO
test054.jpg,N1084AAO
test055.jpg,N1610KS
test056.jpg,N1623HB
test057.jpg,N1396AAH
test058.jpg,N3153ACB
test059.jpg,W8774PA
test060.jpg,M1457TA
test061.jpg,AA1971KJ
test062.jpg,AE7244S
test063.jpg,S1208BI
test064.jpg,AE8137G
test065.jpg,H1706SW
test066.jpg,H1790ZY
test067.jpg,L1855BR
test068.jpg,B2310UZS
test069.jpg,AA1138AK
test070.jpg,B2597BTK
test071.jpg,G9545AG
test072.jpg,BG1870IB
test073.jpg,T1187HB
test074.jpg,G1368GE
test075.jpg,G2474XZ
test076.jpg,G2151ASF
test077.jpg,G1754DZ
test078.jpg,H1413DH
test079.jpg,T1688GY
test080.jpg,D77HSB
test081.jpg,F1992AM
test082.jpg,E1824YZ
test083.jpg,F5052AAE
test084.jpg,B1242VOY
test085.jpg,B2938FVJ
test086.jpg,B1556NRC
test087.jpg,B6823WXR
test088.jpg,B1902VKA
test089.jpg,A8406ZE
test090.jpg,T9314E
test091.jpg,B2910KZW
test092.jpg,B1104AAA
test093.jpg,B2026BIU
test094.jpg,G1255EJ
test095.jpg,B1201KAD
test096.jpg,B1502NRO
test097.jpg,B1650NOG
test098.jpg,B1779DOB
test099.jpg,B1892WZT
test100.jpg,B1071PRG
